タイプ,ファイル名,ファイルID,移動元フォルダパス,移動元フォルダID,移動先フォルダパス,移動先フォルダID,理由
MOVE,アイケアラボ_窓面シートV6.pdf,1HH3M863IwUcTos5ldhAFI0IUZFzhKIHB,133_デモ_デモ/アウトプット,1f8sNJpV_RFwwvzyolZojU9lCLxwi1Fkh,133_川口駅前店_看板関係/アウトプット,1b53ZmtzLUq7IPfib__5Q8r-AOsv709tI,正規フォルダに同名ファイルなし
MOVE,アイケアラボ_窓面シートV6.pdf,1sEXQvp8Y_peuHL8XD4EhrUl24APRrf4N,133_デモ_デモ/アウトプット,1f8sNJpV_RFwwvzyolZojU9lCLxwi1Fkh,133_川口駅前店_看板関係/アウトプット,1b53ZmtzLUq7IPfib__5Q8r-AOsv709tI,正規フォルダに同名ファイルなし
MOVE,アイケアラボ_窓面シートV6.pdf,1Ld6Nb75u3UC1Asz1FuPbNHTYFambOJrK,133_デモ_デモ/アウトプット,1f8sNJpV_RFwwvzyolZojU9lCLxwi1Fkh,133_川口駅前店_看板関係/アウトプット,1b53ZmtzLUq7IPfib__5Q8r-AOsv709tI,正規フォルダに同名ファイルなし
TRASH,133_デモ_デモ,1H0QVx4Ib9n_x7JYDCElwGtnVVfefn27A,133_デモ_デモ,1H0QVx4Ib9n_x7JYDCElwGtnVVfefn27A,ゴミ箱,,統合完了後に削除
MOVE,スクリーンショット 2026-03-18 11.38.53.png,1Dn7Zw_p9FlB_hQYNEBDOu0j63jDOcNDq,139_大泉学園店_カッティング/アウトプット,1dG8tKX-dIkulwQVUpPcNpELaBmTL615s,139_ベイシア栗橋_看板/アウトプット,1htxCJLP7hT4C72eMqXySoo7rO3quC1UP,正規フォルダに同名ファイルなし
TRASH,139_大泉学園店_カッティング,1KMOmqWbcmXwgpqdUTxQbJ7A0ikL9ocDp,139_大泉学園店_カッティング,1KMOmqWbcmXwgpqdUTxQbJ7A0ikL9ocDp,ゴミ箱,,統合完了後に削除
TRASH,4_自由が丘店_のぼり,1w58E7ynGygerTR2RGFwmmofPKtbcBkMo,4_自由が丘店_のぼり,1w58E7ynGygerTR2RGFwmmofPKtbcBkMo,ゴミ箱,,統合完了後に削除
TRASH,128_川口駅前店,1yXDox3NtzCduvNFz1kNKNJ4xZ4rFN4ov,128_川口駅前店,1yXDox3NtzCduvNFz1kNKNJ4xZ4rFN4ov,ゴミ箱,,統合完了後に削除
TRASH,116_朝霞台駅前店_店舗のロゴ作成ニ種類,1M-8ZmoAUPzMt_0OK45hfF_2wvSoamGe-,116_朝霞台駅前店_店舗のロゴ作成ニ種類,1M-8ZmoAUPzMt_0OK45hfF_2wvSoamGe-,ゴミ箱,,統合完了後に削除
TRASH,115_博多駅前店_チラシ三種類,1j9hqd2W1p_qirPJEfQ4O-A0K9Y8dmJnC,115_博多駅前店_チラシ三種類,1j9hqd2W1p_qirPJEfQ4O-A0K9Y8dmJnC,ゴミ箱,,統合完了後に削除
TRASH,114_大宮店_ グランドオープンチラシ,1Ie2xXDEKm2AYjdyvYmQBfG-6Ucj8kqNn,114_大宮店_ グランドオープンチラシ,1Ie2xXDEKm2AYjdyvYmQBfG-6Ucj8kqNn,ゴミ箱,,統合完了後に削除
